,ResponseId,frame,source,option_selected,rating,rating_num,reversed_rating_num,rationale,age_grouped,gender,ethnicity_grouped,education,continent_grouped,ADP_familiar,student,NEP_Score,scenario,option_selected_B,option_selected_A,frame_gain,frame_loss,ADP_No,Unnamed: 0,index,prompt,response,temperature,top_p,test,model,num_calls,sys_role,instructions,risk,rating_cat,rating_cat_rev,scenario_c,source_AI
0,R_NVdvtmfjOpqbjt7,gain,human,Proposal A,2: Preference for Proposal A,2,6,fgfd,35 - 44 years old,Male,White or Caucasian,Associates or technical degree,Other / Not Provided,,No,27.0,animal,0,1,1,0,,,,,,,,,,,,,,,,,human
1,R_1PdD5x1QaR96ry5,loss,human,Proposal A,2: Preference for Proposal A,2,6,I'm not good with maths and I don't like gambling. 1/3 guaranteed alive animals is better than the 2/3 gamble that all of them die.,45 - 54 years old,Male,White or Caucasian,Bachelor's degree,North America,,No,20.0,animal,0,1,0,1,,,,,,,,,,,,,,,,,human
2,R_2pQPkuWqwDFa4ht,gain,human,Proposal B,5: Slight Preference for Proposal B,5,3,"Conserving 300 trees in the future will be more difficult. Next time, the compromise is going to be 100 trees. Then 30. ",35 - 44 years old,Other,White or Caucasian,Bachelor's degree,Europe,,No,16.0,forest,1,0,1,0,,,,,,,,,,,,,,,,,human
3,R_3m4yc0cNJWvh3ay,loss,human,Proposal B,6: Preference for Proposal B,6,2,I love me a good gamble. Best feeling in the world if you win. :),18 - 24 years old,Male,grouped,Completed high school / secondary school,Asia,No,Yes,9.0,human,1,0,0,1,No,,,,,,,,,,,,,,,,human
4,R_3jTgIu177nGiYJ2,gain,human,Proposal A,2: Preference for Proposal A,2,6,Proposal A is guaranteed lives saved and B has a high chance of zero survival so I’m going for guaranteed lives ,35 - 44 years old,Female,White or Caucasian,Bachelor's degree,Europe,No,No,15.0,human,0,1,1,0,No,,,,,,,,,,,,,,,,human
5,R_3rqj1mPKRYbABzz,loss,human,Proposal A,4: No Preference for Proposal A or B,4,4,,25 - 34 years old,Male,White or Caucasian,Completed high school / secondary school,North America,Yes,No,16.0,animal,0,1,0,1,Yes,,,,,,,,,,,,,,,,human
6,R_x9sjTCDfAzRGF7b,loss,human,Proposal A,3: Slight Preference for Propsal A,3,5,ugj,25 - 34 years old,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,No,20.0,forest,0,1,0,1,Yes,,,,,,,,,,,,,,,,human
7,R_2aslBOe9982yOUw,gain,human,Proposal B,4: No Preference for Proposal A or B,4,4,,25 - 34 years old,Male,White or Caucasian,Associates or technical degree,North America,Yes,No,8.0,animal,1,0,1,0,Yes,,,,,,,,,,,,,,,,human
8,R_3fPK05wtfzgynpL,gain,human,Proposal A,1: Strong Preference for Proposal A,1,7,Plan A is safer,35 - 44 years old,Female,White or Caucasian,Bachelor's degree,North America,No,No,10.0,forest,0,1,1,0,No,,,,,,,,,,,,,,,,human
9,R_1inAAY1EjXY5uip,loss,human,Proposal B,6: Preference for Proposal B,6,2,adasdad,25 - 34 years old,Female,White or Caucasian,Associates or technical degree,Other / Not Provided,Yes,No,23.0,human,1,0,0,1,Yes,,,,,,,,,,,,,,,,human
